Age,M,F
0-4,11055565,10566429
5-9,11035203,10552236
10-14,10931548,10462688
15-19,11069106,10638058
20-24,11501747,11121246
25-29,11959742,11631748
30-34,12258156,11980378
35-39,12385520,12152254
40-44,12244336,12053165
45-49,11857335,11711565
50-54,11748787,11641959
55-59,11943918,11907309
60-64,11456232,11536674
65-69,10907707,11135602
70-74,10616227,10940297
75-79,9279219,9773771
80-84,7282669,8037173
85-89,5095825,5968778
90-94,3052365,3835129
95-99,1278524,1739044
100+,302358,507132
