Age,M,F
0-4,10663250,10195112
5-9,10749898,10285451
10-14,10792169,10339546
15-19,10849630,10442529
20-24,10914546,10578700
25-29,11318658,11033125
30-34,12024924,11778421
35-39,12017256,11821141
40-44,11995953,11840895
45-49,12410672,12190236
50-54,11797570,11641080
55-59,10606014,10723103
60-64,9401269,9777686
65-69,8623407,9219724
70-74,8189172,8817004
75-79,7635527,8563465
80-84,6117285,7416024
85-89,3865158,5168980
90-94,1830700,2764715
95-99,492639,881075
100+,70489,162227
