Age,M,F
0-4,10199563,9761465
5-9,10109076,9671644
10-14,10658446,10204178
15-19,10951501,10525883
20-24,11206021,10842537
25-29,12007251,11602562
30-34,12048079,11655327
35-39,11231289,11048567
40-44,10354316,10379437
45-49,9909321,10057587
50-54,10039900,10076705
55-59,10450615,10536723
60-64,10189468,10680224
65-69,8835904,9715103
70-74,7049596,8148014
75-79,4814898,5961826
80-84,2946486,3881926
85-89,1652402,2426685
90-94,752385,1366559
95-99,226496,517597
100+,24996,86709
