Age,M,F
0-4,10621293,10154384
5-9,10714610,10249562
10-14,10831411,10375248
15-19,11099115,10678425
20-24,11412815,11053395
25-29,11480450,11195800
30-34,11531752,11305044
35-39,11987923,11788374
40-44,12219813,12053309
45-49,11948663,11831909
50-54,12085617,11972768
55-59,11882222,11794499
60-64,10625174,10780234
65-69,9240163,9710182
70-74,8078418,8782707
75-79,7230629,8053008
80-84,6260979,7202152
85-89,4617895,5778007
90-94,2435724,3418469
95-99,839011,1344743
100+,119058,252290
