Age,M,F
0-4,10861053,10381702
5-9,10763323,10293051
10-14,10779848,10321769
15-19,11075373,10649186
20-24,11550308,11174094
25-29,11956213,11638908
30-34,12108883,11852502
35-39,11927498,11726699
40-44,11771616,11606907
45-49,12050097,11907387
50-54,12105179,12012821
55-59,11635444,11635418
60-64,11517326,11594603
65-69,11046032,11218371
70-74,9555154,9985625
75-79,7876735,8594043
80-84,6239989,7130653
85-89,4658483,5569907
90-94,2900349,3672948
95-99,1242150,1765312
100+,225836,416688
