Age,M,F
0-4,10665475,10194798
5-9,10695556,10229970
10-14,10808511,10351319
15-19,11104943,10680021
20-24,11528646,11158951
25-29,11773080,11471740
30-34,11675813,11444026
35-39,11711504,11519418
40-44,12158006,11986739
45-49,12127948,11995995
50-54,11835488,11767968
55-59,11960410,11905814
60-64,11359341,11401898
65-69,9966372,10299679
70-74,8494361,9114585
75-79,7249823,8083542
80-84,6131452,7023222
85-89,4719132,5707288
90-94,2761544,3703479
95-99,996367,1533271
100+,159767,319188
