Age,M,F
0-4,10672622,10204015
5-9,10745385,10279475
10-14,10743385,10288457
15-19,10761907,10355472
20-24,10874686,10538409
25-29,11389040,11098926
30-34,12068766,11820817
35-39,11971140,11776343
40-44,12052527,11884108
45-49,12431017,12191829
50-54,11621801,11484743
55-59,10422873,10573529
60-64,9292827,9686411
65-69,8639847,9228366
70-74,8280334,8901771
75-79,7684003,8667986
80-84,6032387,7379986
85-89,3721875,5037147
90-94,1698292,2613502
95-99,436104,798975
100+,66450,154615
