Age,M,F
0-4,11013322,10527113
5-9,10927412,10449350
10-14,10852702,10390327
15-19,11057087,10629712
20-24,11521705,11143302
25-29,11970400,11645778
30-34,12243603,11972271
35-39,12277610,12055266
40-44,12009108,11832476
45-49,11776667,11636217
50-54,11963719,11860459
55-59,11910134,11885820
60-64,11328153,11427789
65-69,11072433,11279836
70-74,10433686,10754424
75-79,8745591,9314227
80-84,6793633,7609224
85-89,4818063,5715056
90-94,2933909,3689919
95-99,1307708,1774770
100+,279274,483555
