Age,M,F
0-4,10648345,10181716
5-9,10743094,10278422
10-14,10825509,10372697
15-19,10974084,10563206
20-24,11069817,10728584
25-29,11253543,10975912
30-34,11833284,11592598
35-39,12159617,11959369
40-44,11970553,11818923
45-49,12211444,12043613
50-54,12132397,11953387
55-59,10985865,11019483
60-64,9700104,10036962
65-69,8670929,9244439
70-74,8065299,8754440
75-79,7499840,8328814
80-84,6269834,7466530
85-89,4125000,5420339
90-94,1977623,2919370
95-99,635079,1076179
100+,79520,180542
