Age,M,F
0-4,10019268,9575909
5-9,10726620,10255612
10-14,10666243,10204844
15-19,10887190,10449077
20-24,11786611,11275446
25-29,11666445,11226036
30-34,10939654,10749778
35-39,10202937,10199934
40-44,9991943,10082607
45-49,10358156,10253196
50-54,10962723,10926830
55-59,10694105,11018156
60-64,9341307,9994181
65-69,7673831,8549531
70-74,5380754,6368832
75-79,3763895,4574725
80-84,2463985,3352445
85-89,1490346,2432776
90-94,631734,1284035
95-99,137413,386633
100+,13071,57178
