Age,M,F
0-4,10609963,10151627
5-9,10358182,9918545
10-14,10149855,9727715
15-19,10639427,10230930
20-24,11425971,11056057
25-29,11549761,11252612
30-34,11962921,11686957
35-39,12404552,12065596
40-44,11625008,11410174
45-49,10624889,10656657
50-54,9816701,10013103
55-59,9563580,9834926
60-64,9657959,9905238
65-69,9516086,10149318
70-74,8293572,9385776
75-79,6328221,7639746
80-84,4199940,5492767
85-89,2085630,3067504
90-94,903351,1460414
95-99,270503,546113
100+,39580,117614
