Age,M,F
0-4,11049625,10561416
5-9,10994832,10512265
10-14,10871234,10400886
15-19,11031648,10600012
20-24,11507310,11126867
25-29,11971172,11644079
30-34,12256585,11981398
35-39,12356776,12126943
40-44,12172048,11984546
45-49,11808016,11663151
50-54,11801313,11691878
55-59,11973641,11936594
60-64,11400092,11483368
65-69,10940922,11165118
70-74,10621943,10938115
75-79,9131022,9642331
80-84,7151430,7932611
85-89,5011185,5901132
90-94,2991248,3785315
95-99,1252347,1707667
100+,295528,500485
