Age,M,F
0-4,10693803,10222468
5-9,10693749,10227688
10-14,10798918,10341806
15-19,11106439,10681464
20-24,11539980,11169151
25-29,11825415,11521121
30-34,11761381,11525548
35-39,11694038,11503820
40-44,12055831,11885484
45-49,12203705,12068424
50-54,11841075,11770244
55-59,11854745,11822425
60-64,11519273,11552071
65-69,10156030,10447667
70-74,8654559,9253993
75-79,7301087,8115908
80-84,6114162,7025279
85-89,4693634,5638264
90-94,2793755,3704138
95-99,1063389,1608127
100+,169876,334956
