Age,M,F
0-4,11513439,11007034
5-9,11513372,11010365
10-14,11464772,10970192
15-19,11630805,11173567
20-24,12027882,11620341
25-29,12434887,12070883
30-34,12734418,12405360
35-39,12868601,12567099
40-44,12842309,12565924
45-49,12689375,12442908
50-54,12521091,12315945
55-59,12365923,12225214
60-64,12153767,12110399
65-69,11804774,11890565
70-74,11263284,11505359
75-79,10343643,10764650
80-84,8998170,9620026
85-89,7417916,8255719
90-94,5241696,6207691
95-99,2424471,3143619
100+,675098,1051337
