Age,M,F
0-4,11232819,10738088
5-9,11206281,10715917
10-14,11221774,10736876
15-19,11494081,11041451
20-24,11933029,11529782
25-29,12248561,11897125
30-34,12367435,12063737
35-39,12426553,12158037
40-44,12500748,12258163
45-49,12542357,12328111
50-54,12471542,12301564
55-59,12239058,12144975
60-64,11713947,11730283
65-69,10990426,11139064
70-74,10534152,10825908
75-79,10076697,10554350
80-84,8689822,9357583
85-89,6916257,7756033
90-94,4671556,5521339
95-99,1960566,2532011
100+,453993,715387
