Age,M,F
0-4,9956809,9517973
5-9,10652303,10184245
10-14,10728130,10266805
15-19,10858538,10431054
20-24,11691510,11210584
25-29,11844524,11385124
30-34,11131304,10896202
35-39,10339728,10317968
40-44,9979301,10074949
45-49,10227208,10180374
50-54,10813761,10754527
55-59,10750202,11030498
60-64,9546336,10188814
65-69,7887194,8770152
70-74,5694182,6706137
75-79,3855276,4727223
80-84,2535498,3384662
85-89,1498442,2403737
90-94,671119,1321993
95-99,164780,429357
100+,14798,61437
