Age,M,F
0-4,11385355,10883844
5-9,11356214,10861677
10-14,11334862,10852729
15-19,11548962,11098975
20-24,11990105,11584571
25-29,12398981,12038772
30-34,12610965,12292143
35-39,12629596,12345782
40-44,12571097,12316614
45-49,12535703,12310589
50-54,12494460,12311357
55-59,12353082,12238913
60-64,12066232,12056728
65-69,11527578,11652759
70-74,10675485,10951655
75-79,9827584,10270137
80-84,8951382,9608277
85-89,7216214,8059132
90-94,4757484,5621873
95-99,2297707,2943879
100+,577418,890320
