Age,M,F
0-4,10438484,9977560
5-9,10673803,10204620
10-14,10616177,10157634
15-19,11188191,10679655
20-24,11653830,11118525
25-29,11079730,10749215
30-34,10362136,10282197
35-39,9948785,10001915
40-44,10170659,10143919
45-49,10835998,10674858
50-54,11143318,11226483
55-59,10269580,10698408
60-64,8713021,9395727
65-69,6733856,7600745
70-74,4706235,5537699
75-79,3435730,4210110
80-84,2339366,3345333
85-89,1413132,2395332
90-94,547250,1170054
95-99,129744,373259
100+,9480,48786
