Age,M,F
0-4,11097386,10606909
5-9,11154261,10666499
10-14,11146466,10670569
15-19,11255943,10817643
20-24,11551631,11167189
25-29,11927008,11595404
30-34,12245214,11959247
35-39,12434638,12186237
40-44,12489987,12276573
45-49,12317429,12145745
50-54,11861058,11747431
55-59,11550161,11505486
60-64,11592154,11649872
65-69,11134203,11332006
70-74,10356865,10717986
75-79,9750861,10243381
80-84,8253998,8896865
85-89,5870565,6681807
90-94,3387699,4152153
95-99,1408876,1898496
100+,330998,537940
