Age,M,F
0-4,11194924,10702202
5-9,11191588,10703217
10-14,11261845,10781939
15-19,11525234,11075976
20-24,11897648,11497304
25-29,12173906,11826605
30-34,12307072,12007195
35-39,12411215,12146522
40-44,12513214,12275561
45-49,12546897,12339868
50-54,12456209,12297353
55-59,12153448,12073164
60-64,11546551,11576101
65-69,10939756,11096240
70-74,10637235,10944510
75-79,9961557,10450510
80-84,8536621,9212564
85-89,6864692,7687017
90-94,4476192,5264872
95-99,1940363,2488736
100+,424505,673954
