Age,M,F
0-4,10192623,9742839
5-9,10736532,10265653
10-14,10604770,10142353
15-19,10933184,10476880
20-24,11808561,11279533
25-29,11481850,11070461
30-34,10745591,10597460
35-39,10090853,10106222
40-44,10027705,10095142
45-49,10504542,10360299
50-54,11069728,11061735
55-59,10601540,10961280
60-64,9137031,9798103
65-69,7416914,8285448
70-74,5118763,6071132
75-79,3670131,4447560
80-84,2409348,3344864
85-89,1463240,2441639
90-94,569475,1208999
95-99,118149,355017
100+,11591,53572
