Age,M,F
0-4,10820761,10342610
5-9,10741754,10272965
10-14,10779953,10322169
15-19,11081228,10654836
20-24,11547507,11171633
25-29,11945725,11630152
30-34,12056785,11803843
35-39,11841347,11645003
40-44,11787268,11621457
45-49,12149180,12006643
50-54,12027942,11939421
55-59,11626812,11631035
60-64,11614283,11672682
65-69,10885277,11067640
70-74,9367759,9837677
75-79,7720633,8456354
80-84,6185851,7092972
85-89,4668068,5567568
90-94,2923148,3729648
95-99,1190175,1720455
100+,214100,400239
