Age,M,F
0-4,10615176,10148010
5-9,10726407,10261498
10-14,10833565,10377662
15-19,11088964,10669146
20-24,11359208,11002385
25-29,11394113,11113286
30-34,11550500,11321094
35-39,12092727,11891178
40-44,12145364,11981621
45-49,11945383,11831067
50-54,12197807,12059938
55-59,11723058,11644534
60-64,10434371,10632234
65-69,9078881,9570360
70-74,8033515,8756492
75-79,7264952,8060441
80-84,6303981,7293354
85-89,4555862,5757699
90-94,2364122,3352302
95-99,779285,1271780
100+,109114,235198
