Age,M,F
0-4,10329762,9885302
5-9,10087294,9655383
10-14,10400473,9956197
15-19,11033757,10604878
20-24,11203741,10839550
25-29,11744548,11404182
30-34,12303709,11906344
35-39,11609660,11343646
40-44,10687638,10666288
45-49,9973728,10098665
50-54,9855139,10011080
55-59,10133689,10195980
60-64,10210622,10602758
65-69,9189097,10038983
70-74,7399664,8521239
75-79,5383987,6598048
80-84,3153053,4226247
85-89,1760058,2530219
90-94,751349,1331323
95-99,246943,542324
100+,29223,96792
