Age,M,F
0-4,11360982,10860118
5-9,11331892,10838080
10-14,11302223,10818821
15-19,11526487,11075579
20-24,11986506,11580684
25-29,12385754,12026242
30-34,12580953,12264031
35-39,12589188,12307635
40-44,12545877,12293095
45-49,12530514,12306373
50-54,12494038,12311652
55-59,12342501,12229509
60-64,12038597,12031641
65-69,11458020,11586093
70-74,10597363,10875275
75-79,9841098,10284582
80-84,8994148,9655036
85-89,7148631,7987475
90-94,4773752,5648603
95-99,2254275,2895610
100+,558872,862912
