Age,M,F
0-4,11131771,10641472
5-9,11171911,10682971
10-14,11238889,10756690
15-19,11455600,11007689
20-24,11783089,11387742
25-29,12036769,11696703
30-34,12234468,11941189
35-39,12412402,12152934
40-44,12526700,12295294
45-49,12524313,12326271
50-54,12351871,12205781
55-59,11880538,11815222
60-64,11297588,11338717
65-69,11059235,11224612
70-74,10756183,11082478
75-79,9683145,10181969
80-84,8512890,9189388
85-89,6820252,7609399
90-94,4056817,4826266
95-99,1697338,2223214
100+,376787,605864
