Age,M,F
0-4,10582990,10125881
5-9,10266172,9832537
10-14,10168615,9746330
15-19,10764828,10352406
20-24,11383789,11015841
25-29,11533047,11238337
30-34,12084955,11780455
35-39,12298487,11958502
40-44,11434082,11259546
45-49,10448143,10507297
50-54,9764003,9977649
55-59,9635073,9857178
60-64,9798985,10058530
65-69,9509764,10194542
70-74,8127107,9236582
75-79,6154821,7454510
80-84,3971306,5219495
85-89,2000468,2924020
90-94,880788,1430222
95-99,269092,549604
100+,37637,114231
