Age,M,F
0-4,11084996,10595180
5-9,11084272,10598752
10-14,11017137,10546551
15-19,11130235,10697970
20-24,11504569,11123719
25-29,11944412,11615329
30-34,12261224,11979891
35-39,12415357,12175897
40-44,12360929,12161516
45-49,12017691,11863772
50-54,11702957,11597860
55-59,11783460,11743824
60-64,11614202,11686834
65-69,10918126,11138235
70-74,10491066,10839598
75-79,9599493,10076120
80-84,7600502,8301548
85-89,5308416,6167608
90-94,3085062,3844211
95-99,1352952,1832302
100+,313102,516375
