Age,M,F
0-4,10677692,10210659
5-9,10746487,10282780
10-14,10731372,10282910
15-19,10710508,10311372
20-24,10854560,10520095
25-29,11465121,11172846
30-34,12063051,11816059
35-39,11937458,11745922
40-44,12134844,11949730
45-49,12385574,12141457
50-54,11431278,11330057
55-59,10235221,10423265
60-64,9202497,9618129
65-69,8665300,9234412
70-74,8357612,8989679
75-79,7660574,8696753
80-84,5881300,7246664
85-89,3571819,4860371
90-94,1608361,2475998
95-99,447075,805989
100+,62594,148090
