Age,M,F
0-4,11102059,10612153
5-9,11160541,10672164
10-14,11169627,10692730
15-19,11295676,10856019
20-24,11578688,11193266
25-29,11929830,11597733
30-34,12238904,11952041
35-39,12436801,12186601
40-44,12502039,12285538
45-49,12371645,12195825
50-54,11948782,11830517
55-59,11539863,11495207
60-64,11506723,11561008
65-69,11216892,11410755
70-74,10379066,10734448
75-79,9690963,10194318
80-84,8403799,9045031
85-89,6001358,6798618
90-94,3450050,4213671
95-99,1456666,1948679
100+,335740,545622
