Age,M,F
0-4,10655545,10188211
5-9,10747329,10283154
10-14,10819204,10367481
15-19,10922289,10513803
20-24,10982563,10644961
25-29,11272788,10991700
30-34,11940478,11696556
35-39,12086476,11888385
40-44,11969499,11819333
45-49,12328675,12133494
50-54,11973938,11803398
55-59,10794317,10871315
60-64,9538917,9897058
65-69,8633526,9223616
70-74,8117325,8771116
75-79,7570547,8445776
80-84,6196178,7444177
85-89,4001432,5299725
90-94,1910128,2846913
95-99,570914,988761
100+,74754,170800
