Age,M,F
0-4,11217521,10724218
5-9,11198037,10708789
10-14,11246733,10765075
15-19,11518993,11068743
20-24,11921086,11519666
25-29,12213404,11864196
30-34,12336197,12034544
35-39,12417613,12151201
40-44,12507858,12268001
45-49,12547560,12337376
50-54,12466053,12302339
55-59,12201252,12115022
60-64,11635551,11659425
65-69,10956383,11110213
70-74,10576242,10876083
75-79,10035043,10520105
80-84,8599401,9272017
85-89,6859673,7690495
90-94,4558250,5371595
95-99,1976593,2533028
100+,438943,694383
