Age,M,F
0-4,11098282,10608102
5-9,11115982,10628295
10-14,11047061,10568836
15-19,11146971,10709493
20-24,11517091,11134239
25-29,11938270,11607989
30-34,12257836,11975079
35-39,12424994,12180892
40-44,12438588,12230815
45-49,12180793,12015185
50-54,11738055,11626820
55-59,11628952,11580773
60-64,11680792,11741560
65-69,10998189,11203163
70-74,10390146,10750886
75-79,9807970,10281156
80-84,7982902,8644238
85-89,5623527,6475231
90-94,3229006,4014481
95-99,1312379,1792839
100+,321757,524789
