Age,M,F
0-4,11411769,10909848
5-9,11376357,10880592
10-14,11354246,10871391
15-19,11559377,11109500
20-24,11993831,11588662
25-29,12411590,12050803
30-34,12637643,12317231
35-39,12669798,12383541
40-44,12598814,12341975
45-49,12542079,12314988
50-54,12493557,12308258
55-59,12361577,12244661
60-64,12086115,12072601
65-69,11589543,11710448
70-74,10769607,11042579
75-79,9838674,10279562
80-84,8913205,9563099
85-89,7289354,8138853
90-94,4756715,5623669
95-99,2325315,2975570
100+,595341,917216
