Age,M,F
0-4,176152249,163921992
5-9,181418020,167733642
10-14,187221438,172313514
15-19,188708838,172786333
20-24,187766474,170573169
25-29,184778739,166875011
30-34,184567908,167859529
35-39,185060084,170986911
40-44,191635729,181804749
45-49,167146818,160852489
50-54,149832512,145769734
55-59,147843830,145775516
60-64,132796353,134495485
65-69,103760740,107857791
70-74,74682121,81719664
75-79,52479678,62466697
80-84,26087607,35302998
85-89,11132332,17227285
90-94,3781380,7307641
95-99,847905,2204441
100+,121092,435453
