Age,M,F
0-4,191631699,175509847
5-9,190803738,173752634
10-14,188052715,170747314
15-19,187981908,171737542
20-24,189201019,174457747
25-29,198231541,185871705
30-34,175677662,165830234
35-39,159951265,151877297
40-44,161398572,154239654
45-49,151063353,146418331
50-54,127367029,123748737
55-59,104138740,102424098
60-64,89718049,90144552
65-69,60652064,64084911
70-74,41351691,45445734
75-79,27852345,33405470
80-84,15266591,20812617
85-89,6179054,9966724
90-94,1644413,3500779
95-99,301679,856751
100+,37468,140048
