Age,M,F
0-4,166707508,156447520
5-9,170417127,159660897
10-14,174830706,162776233
15-19,180045622,166427235
20-24,185393722,170290249
25-29,186949185,170534273
30-34,185818740,168514428
35-39,181362464,164690152
40-44,179443996,165136763
45-49,178703295,167503308
50-54,183484578,177024749
55-59,156731971,154489866
60-64,136130083,137040879
65-69,128055230,132489176
70-74,105404476,114991386
75-79,70809376,82827345
80-84,40578900,52648647
85-89,20456584,30589897
90-94,6239571,11681179
95-99,1348074,3309540
100+,211495,752229
