Age,M,F
0-4,196720806,181322786
5-9,206053467,192429154
10-14,182869843,171804103
15-19,167380270,158095277
20-24,169028327,160188150
25-29,160284858,152690390
30-34,138440407,131156386
35-39,117908635,111604120
40-44,107848853,102465382
45-49,80935809,78133302
50-54,65646088,63058410
55-59,58562722,56787325
60-64,48711778,48556512
65-69,36715265,37685066
70-74,24262824,27339509
75-79,14709818,18227160
80-84,7016038,10180927
85-89,2287966,4065337
90-94,492079,1125523
95-99,67284,198759
100+,6281,24001
