Age,M,F
0-4,131566962,123467423
5-9,135096214,126833586
10-14,138967672,130514776
15-19,142951041,134196758
20-24,146854718,137689828
25-29,151145688,141522868
30-34,154766238,144997633
35-39,157386588,148008834
40-44,159330442,150294386
45-49,161229000,152590853
50-54,162785338,154139045
55-59,163909056,155713136
60-64,163056919,156335637
65-69,154877195,150822616
70-74,139080326,139007923
75-79,115284846,120546204
80-84,88107399,98728242
85-89,57956160,71101562
90-94,31319167,43799110
95-99,9436944,16245039
100+,1967586,4881571
