Age,M,F
0-4,115924184,108665410
5-9,119378194,111928307
10-14,123055250,115403434
15-19,126461791,118512942
20-24,129768853,121389498
25-29,133198337,124332306
30-34,136764615,127662813
35-39,140131640,131273195
40-44,143278678,134836850
45-49,146392286,138398096
50-54,148482461,141186209
55-59,149114989,143001650
60-64,147709860,143197594
65-69,143822231,141703907
70-74,135885929,136618479
75-79,122467710,126978845
80-84,101264840,109741332
85-89,70141861,81034917
90-94,37141536,47446812
95-99,13901058,21020008
100+,3624498,7663515
