Age,M,F
0-4,135459963,127157467
5-9,139278798,130801632
10-14,143531934,134850647
15-19,147614270,138635742
20-24,151690213,142308920
25-29,155484108,145686399
30-34,158716756,148799489
35-39,161034578,151269751
40-44,163246427,153806596
45-49,165520828,155794114
50-54,168000005,158142806
55-59,169238151,160095756
60-64,164086864,156803313
65-69,152927926,148572205
70-74,134729281,135131149
75-79,113272637,120181262
80-84,86969669,99336210
85-89,59556798,74946945
90-94,25136446,36612572
95-99,7910259,14094054
100+,1770435,4557494
