Age,M,F
0-4,192413577,175219677
5-9,189162807,171709797
10-14,189290600,172859063
15-19,190873940,176001963
20-24,199507447,187047413
25-29,177223915,166994353
30-34,162038400,153050169
35-39,163917542,155661014
40-44,154313990,148313321
45-49,131334372,126227041
50-54,109185480,105630270
55-59,96545511,94638186
60-64,68379006,69561116
65-69,50060474,51909936
70-74,38012128,41573460
75-79,24327007,29479995
80-84,12536870,17141958
85-89,4699248,7869360
90-94,1246854,2669448
95-99,218995,632657
100+,24173,91190
