Age,M,F
0-4,162697699,152957234
5-9,166055278,155893107
10-14,169943916,159253050
15-19,174056647,161985738
20-24,179024318,165282676
25-29,184547600,169277462
30-34,185780398,169589580
35-39,183799553,167393565
40-44,178764560,163277713
45-49,176267212,163342108
50-54,174428843,164974682
55-59,177233426,173204442
60-64,148434594,149167458
65-69,125214384,129489908
70-74,112141442,120960792
75-79,84826241,98824550
80-84,50218048,64159397
85-89,23688009,34529530
90-94,8903796,15926763
95-99,1902363,4569723
100+,267390,939869
