Age,M,F
0-4,149019291,140005116
5-9,153478877,144284501
10-14,157560821,148188541
15-19,161012951,151376841
20-24,163984982,153727522
25-29,167476695,156507962
30-34,171230264,159107120
35-39,175384412,162467763
40-44,179417380,166121864
45-49,178890664,165679385
50-54,174821809,162233739
55-59,166594947,156169887
60-64,158889424,152870906
65-69,149248417,148892191
70-74,139819402,147337059
75-79,100668179,113456471
80-84,67375077,82090625
85-89,42357259,57217886
90-94,18101018,29031346
95-99,4674067,9485700
100+,736319,2221511
