Age,M,F
0-4,188595740,173545669
5-9,190317096,174296396
10-14,189941699,172935497
15-19,186712054,169485248
20-24,186538840,170129975
25-29,188680944,173301939
30-34,197131824,184753709
35-39,173436516,164401384
40-44,157313127,150210447
45-49,158098028,152136310
50-54,146817288,143626032
55-59,121884818,120221654
60-64,97109838,97829309
65-69,80479942,83763134
70-74,50823083,56802544
75-79,31009343,37256743
80-84,17898682,24228292
85-89,7874703,12567380
90-94,2309587,4685060
95-99,431864,1208146
100+,57019,207883
