Age,M,F
0-4,158491322,148988935
5-9,162104038,152454898
10-14,165613129,155510638
15-19,169204751,158489640
20-24,173034046,160876169
25-29,178136286,164303958
30-34,183406253,168366627
35-39,183891442,168522097
40-44,181351749,166043572
45-49,175778590,161576444
50-54,172223574,160954127
55-59,168561897,161447606
60-64,168570353,167679843
65-69,137080072,141331562
70-74,110168699,118503120
75-79,91408986,104705417
80-84,61390187,77591179
85-89,30086436,42800968
90-94,10622122,18247899
95-99,2783243,6284920
100+,377730,1298595
