Age,M,F
0-4,102439959,98180171
5-9,82697014,77406683
10-14,78274136,72841378
15-19,72071038,67429156
20-24,64258915,59398888
25-29,55420138,52400202
30-34,50615453,47448943
35-39,45609991,42784893
40-44,39593590,37358871
45-49,34128478,31990216
50-54,28144598,26646467
55-59,22656471,22168758
60-64,17765143,18562242
65-69,12109215,13625194
70-74,7549300,9030570
75-79,4007452,5187023
80-84,1497383,2224176
85-89,411474,674982
90-94,85437,168065
95-99,12730,31547
100+,557,2095
