Age,M,F
0-4,144280941,135513994
5-9,148562777,139614069
10-14,153111748,143959414
15-19,156910786,147489437
20-24,160136457,150360795
25-29,163287103,152856317
30-34,166566122,155717259
35-39,169636382,158186143
40-44,173320442,161309933
45-49,176896307,164647863
50-54,175449857,163637052
55-59,169741299,159231064
60-64,159215257,151678116
65-69,148241054,145845162
70-74,133648299,137816956
75-79,117428274,129748662
80-84,75873472,91157930
85-89,42932724,56943915
90-94,20915978,32146978
95-99,6288716,12215465
100+,1021707,2898987
