Age,M,F
0-4,123620402,115940168
5-9,127250517,119388162
10-14,130942335,122890505
15-19,134254581,125924867
20-24,137710278,128963987
25-29,141766016,132531636
30-34,145741604,136296273
35-39,149292956,140146233
40-44,152004055,143375577
45-49,154059345,146025681
50-54,155166242,147745544
55-59,155286364,148997503
60-64,153823169,148716410
65-69,150248338,147080715
70-74,141980834,142167407
75-79,123434222,128096097
80-84,95450046,104163583
85-89,61797123,72794733
90-94,32019072,42605715
95-99,12124992,19318992
100+,3091623,6915557
