Age,M,F
0-4,179414843,170471390
5-9,166979489,159233209
10-14,144525601,136999921
15-19,123614323,117136419
20-24,114221936,108230849
25-29,87370545,83507537
30-34,73326500,68810719
35-39,68883601,64149274
40-44,61966257,57827167
45-49,53330721,49289093
50-54,43556989,41756898
55-59,36518991,35641747
60-64,28814949,29578823
65-69,20243757,22408243
70-74,12825521,15359104
75-79,6763924,8808410
80-84,2742974,4064458
85-89,799817,1460508
90-94,133967,325546
95-99,16315,52475
100+,1581,7033
