Age,M,F
0-4,171139601,160280334
5-9,175338621,163214263
10-14,180858166,167248053
15-19,186388995,171470869
20-24,187742225,171576065
25-29,187051625,169494586
30-34,183521228,165855128
35-39,182236261,166629191
40-44,182085638,169404731
45-49,188026068,179754685
50-54,162743484,158190444
55-59,144094655,142185472
60-64,139555819,140402010
65-69,121305233,126539968
70-74,89291110,97328657
75-79,58372065,68869370
80-84,35837404,47257407
85-89,14640573,22625265
90-94,4580533,8676317
95-99,1079557,2713633
100+,164407,592338
