Age,M,F
0-4,191584545,175324356
5-9,193761180,178334888
10-14,204662048,191163223
15-19,181182114,170387514
20-24,165104418,156160551
25-29,167111890,158659266
30-34,158286847,151477453
35-39,136409953,130054076
40-44,115741415,110268097
45-49,105157211,100732076
50-54,77845249,76143737
55-59,61733567,60530945
60-64,53412964,53345083
65-69,42126388,43953291
70-74,29115670,32099824
75-79,16862221,21130227
80-84,8406689,12000987
85-89,3059617,5260770
90-94,688843,1537040
95-99,100952,299279
100+,9620,37268
