Age,M,F
0-4,135601359,129105791
5-9,120846971,114423313
10-14,92323934,88107587
15-19,78141350,73299145
20-24,73932933,69090329
25-29,67494369,63295813
30-34,59666576,54980362
35-39,50893686,47860982
40-44,45615480,42684220
45-49,39844448,37788580
50-54,32947739,32121529
55-59,26499755,26530292
60-64,19710181,20482569
65-69,13439348,14812983
70-74,8319634,10197244
75-79,3937442,5597909
80-84,1544635,2401790
85-89,419469,785775
90-94,71491,179593
95-99,9211,29748
100+,1084,4407
