Age,M,F
0-4,209673629,196039964
5-9,184102660,172935272
10-14,168799784,159327046
15-19,171193062,162072896
20-24,162316317,154544492
25-29,140216069,132735247
30-34,119733963,113067019
35-39,109929193,103984405
40-44,83152480,79698086
45-49,68348638,64879653
50-54,62363618,59311167
55-59,53665639,51902998
60-64,42820886,41964100
65-69,30952474,32543044
70-74,21504796,24043623
75-79,12525442,15791742
80-84,5504819,8175434
85-89,1755286,3159841
90-94,357128,805430
95-99,47247,132761
100+,4468,17103
