Age,M,F
0-4,153652120,145887334
5-9,127363628,120677098
10-14,117785519,111494442
15-19,90284483,86318062
20-24,76027080,71486447
25-29,71840016,67128903
30-34,65383226,61116402
35-39,57454396,52743007
40-44,48419619,45555435
45-49,42567008,40240174
50-54,36218314,35190670
55-59,28741406,29165785
60-64,21693548,22920983
65-69,14823939,16365845
70-74,8802518,10635506
75-79,4554843,6303461
80-84,1680118,2735131
85-89,468954,901126
90-94,84992,212777
95-99,10247,33990
100+,1073,4617
