Age,M,F
0-4,174360987,165151342
5-9,174057622,164933579
10-14,165162707,157478358
15-19,143144607,135715439
20-24,122282160,115681968
25-29,112834451,106592482
30-34,86121565,82087157
35-39,71930998,67488330
40-44,67215395,62724625
45-49,59891646,56187421
50-54,50781979,47426757
55-59,40468878,39535007
60-64,32556960,32783283
65-69,24079232,25915283
70-74,15353940,18131279
75-79,8373039,10940605
80-84,3492566,5161750
85-89,1002953,1785972
90-94,194650,448542
95-99,22517,69088
100+,2112,9096
