Age,M,F
0-4,153975478,144706758
5-9,157950049,148530132
10-14,161690077,152094329
15-19,164906245,154771731
20-24,168234703,157413555
25-29,172213009,159935224
30-34,177076027,163436075
35-39,181612191,167347154
40-44,181573535,167235397
45-49,178496806,164404946
50-54,171923508,159311345
55-59,166629756,157631251
60-64,160430069,156378454
65-69,156579716,159483271
70-74,121356988,129853910
75-79,90523838,102957835
80-84,67317963,83058260
85-89,37761931,52679575
90-94,13944514,23084162
95-99,3438272,7332421
100+,564133,1814681
