Age,M,F
0-4,139668958,131144598
5-9,143859843,135148702
10-14,148216260,139303514
15-19,152486550,143276650
20-24,156075642,146498813
25-29,159493451,149520183
30-34,162446451,152101814
35-39,165065011,154841330
40-44,167698366,157091443
45-49,170973482,159927186
50-54,173678056,162727713
55-59,170696395,160825284
60-64,162691846,154938629
65-69,149041270,145039055
70-74,133337502,135415688
75-79,112779565,121742753
80-84,90004426,105400159
85-89,49108986,63868017
90-94,21548326,32255726
95-99,7508608,13862111
100+,1414288,3819189
