Age,M,F
0-4,129193351,122924003
5-9,94799356,90501451
10-14,80059973,75020309
15-19,76185018,70982778
20-24,69641996,65317481
25-29,61764113,57141813
30-34,53088187,50073879
35-39,48184763,45061464
40-44,42884265,40238056
45-49,36444409,34701262
50-54,30616129,29402723
55-59,24355575,23933300
60-64,18269766,18815325
65-69,12991522,14436011
70-74,7736599,9557269
75-79,3957159,5327608
80-84,1583034,2383497
85-89,406140,774332
90-94,71782,170188
95-99,10357,30234
100+,1161,4276
