Age,M,F
0-4,188184568,177267347
5-9,169959573,160554258
10-14,172463529,163348872
15-19,163946130,156238759
20-24,141717254,134322716
25-29,121131448,114354176
30-34,111538081,105322778
35-39,84916409,81017992
40-44,70409525,66285857
45-49,65077461,61199112
50-54,57143201,54308850
55-59,47299860,45081958
60-64,36250765,36539060
65-69,27441842,28955967
70-74,18508322,21319911
75-79,10183185,13167213
80-84,4441854,6607295
85-89,1329804,2365646
90-94,256983,568319
95-99,33952,98841
100+,2923,11612
