Age,M,F
0-4,119665594,112199078
5-9,123317852,115658167
10-14,126978114,119126724
15-19,130412488,122268571
20-24,133586500,125031612
25-29,137288822,128246029
30-34,141199273,131924647
35-39,144616162,135613814
40-44,147874004,139324138
45-49,150404545,142383893
50-54,151956457,144723289
55-59,152041049,145861533
60-64,150523684,146077286
65-69,146506119,143958644
70-74,138730615,139151644
75-79,124543102,129140078
80-84,99362726,108014981
85-89,66216401,77005241
90-94,33901617,44066277
95-99,12854221,19978006
100+,3330863,7249038
