Age,M,F
0-4,182258791,168479440
5-9,187751022,172783964
10-14,189653573,173691208
15-19,188850854,171877499
20-24,185499277,168049605
25-29,185865054,168950962
30-34,187507354,172282167
35-39,194732039,183489539
40-44,170574173,162832310
45-49,154036182,148332278
50-54,153776549,149488198
55-59,141006509,139895457
60-64,114299983,115200299
65-69,87626504,91178126
70-74,68055221,74694081
75-79,38756899,47123222
80-84,20410603,27453200
85-89,9495739,14884123
90-94,3045610,6057556
95-99,627860,1664641
100+,83730,308048
