Age,M,F
0-4,173364070,165770277
5-9,146524368,138969957
10-14,125461766,118795062
15-19,116172274,110009046
20-24,88649989,84820944
25-29,74441694,70016420
30-34,70266000,65531900
35-39,63628529,59359568
40-44,55427043,50930132
45-49,46100910,43590451
50-54,39774126,37978934
55-59,32887366,32596396
60-64,24800468,26061604
65-69,17327959,19355060
70-74,10669904,12729496
75-79,5433711,7214400
80-84,2233904,3457533
85-89,573856,1128201
90-94,102982,261035
95-99,12909,43343
100+,1200,5503
