Age,M,F
0-4,127570904,119682232
5-9,131225994,123159518
10-14,134799501,126556281
15-19,138405627,129872842
20-24,142224846,133270101
25-29,146355044,136928389
30-34,150481400,140863050
35-39,153509628,144245451
40-44,155786224,147087348
45-49,157464540,149158334
50-54,158717016,151057209
55-59,159033520,151898234
60-64,158218797,152249490
65-69,154410961,150723712
70-74,141718175,141755675
75-79,120056237,124761593
80-84,90550877,99739190
85-89,59360384,71321865
90-94,30802384,41931506
95-99,12107669,19862180
100+,2371609,5612702
